case_name,year,outbound_url,audited_url,final_url
BEWARE THE DANGERS OF ALMOST THE SAME,2018,http://jakeandjoshcreative.com/beware-the-dangers-of-almost-the-same-1,http://jakeandjoshcreative.com/beware-the-dangers-of-almost-the-same-1,http://jakeandjoshcreative.com/beware-the-dangers-of-almost-the-same-1
BOXES,2018,https://forsman.co/work/uber/boxes,https://forsman.co/work/uber/boxes,https://www.forsman.com/work/uber/boxes
BREATHING LIFE INTO TRANSIT ADS,2018,https://vimeopro.com/mullenlowegroup/cannes-lions-2018-winners/video/276851263,https://vimeopro.com/mullenlowegroup/cannes-lions-2018-winners/video/276851263,https://vimeopro.com/mullenlowegroup/cannes-lions-2018-winners/video/276851263
BRING BACK YOUR SMILE,2018,https://www.adruby.com/print-ads/colgate-bring-back-your-white-smile,https://www.adruby.com/print-ads/colgate-bring-back-your-white-smile,https://www.adruby.com/print-ads/colgate-bring-back-your-white-smile
CARSALES AUTOADS,2018,https://clios.com/awards/winner/branded-content/carsales-com-au/autoads-43624,https://clios.com/awards/winner/branded-content/carsales-com-au/autoads-43624,https://clios.com/awards/winner/branded-content/carsales-com-au/autoads-43624
CHANGE GOUT,2018,https://clios.com/health/winner/integrated-campaign-pharmaceutical/gr%C3%BCnenthal/change-gout-52257,https://clios.com/health/winner/integrated-campaign-pharmaceutical/gr%C3%BCnenthal/change-gout-52257,https://clios.com/health/winner/integrated-campaign-pharmaceutical/gr%C3%BCnenthal/change-gout-52257
CHATTY SCHOOL BUS,2018,https://clios.com/awards/winner/public-relations/hyundai-motor-company/chatty-school-bus-51247,https://clios.com/awards/winner/public-relations/hyundai-motor-company/chatty-school-bus-51247,https://clios.com/awards/winner/public-relations/hyundai-motor-company/chatty-school-bus-51247
CHEETOS MUSEUM,2018,https://clios.com/awards/winner/events-experiential/cheetos/cheetos-museum-21652,https://clios.com/awards/winner/events-experiential/cheetos/cheetos-museum-21652,https://clios.com/awards/winner/events-experiential/cheetos/cheetos-museum-21652
CHRISTMAS 2117,2018,https://clios.com/awards/winner/film-technique-visual-effects/edeka/christmas-2117-38347,https://clios.com/awards/winner/film-technique-visual-effects/edeka/christmas-2117-38347,https://clios.com/awards/winner/film-technique-visual-effects/edeka/christmas-2117-38347
CLIFFSIDE SHOP,2018,https://clios.com/awards/winner/out-of-home/37-5-technology/cliffside-shop-39832,https://clios.com/awards/winner/out-of-home/37-5-technology/cliffside-shop-39832,https://clios.com/awards/winner/out-of-home/37-5-technology/cliffside-shop-39832
COMA MINI SERIES,2018,https://pedrocorbett.com/getty-images-coma-miniseries,https://pedrocorbett.com/getty-images-coma-miniseries,https://pedrocorbett.com/getty-images-coma-miniseries
COVERAGE COALITION,2018,https://clios.com/awards/winner/public-relations/get-america-covered/coverage-coalition-49303,https://clios.com/awards/winner/public-relations/get-america-covered/coverage-coalition-49303,https://clios.com/awards/winner/public-relations/get-america-covered/coverage-coalition-49303
DESTINATION PRIDE,2018,https://clios.com/awards/winner/digital-mobile/pflag-canada/destination-pride-47165,https://clios.com/awards/winner/digital-mobile/pflag-canada/destination-pride-47165,https://clios.com/awards/winner/digital-mobile/pflag-canada/destination-pride-47165
DISAPPEARING PERSON ALERTS,2018,https://www.dentsu.com/au/en/our-work/bwm-dentsu-cox-inall-change-disappearing-person-alerts,https://www.dentsu.com/au/en/our-work/bwm-dentsu-cox-inall-change-disappearing-person-alerts,https://www.dentsu.com/au/en/our-work/bwm-dentsu-cox-inall-change-disappearing-person-alerts
DISPATCH,2018,https://kyst.co/dispatch,https://kyst.co/dispatch,https://kyst.co/dispatch
DISSOLVING POSTERS,2018,https://clios.com/health/winner/out-of-home-health-wellness/habitat-for-humanity-brazil/the-dissolving-poster-55812,https://clios.com/health/winner/out-of-home-health-wellness/habitat-for-humanity-brazil/the-dissolving-poster-55812,https://clios.com/health/winner/out-of-home-health-wellness/habitat-for-humanity-brazil/the-dissolving-poster-55812
DON’T LET YOUR LOVED ONES BE THE HOME FOR WORMS,2018,https://saatchi.de/arbeiten/entry/puenktlich-zur-ferienzeit-neue-reise-kampagne-fuer-elanco/,https://saatchi.de/arbeiten/entry/puenktlich-zur-ferienzeit-neue-reise-kampagne-fuer-elanco/,https://www.saatchi.de/arbeiten/entry/puenktlich-zur-ferienzeit-neue-reise-kampagne-fuer-elanco
EASYASSISTANCE,2018,https://www.youtube.com/watch?v=xYnINEnuga8&ab_channel=%23LatinosEnCannes,https://www.youtube.com/watch?v=xYnINEnuga8&ab_channel=%23LatinosEnCannes,https://www.youtube.com/watch?v=xYnINEnuga8&ab_channel=%23LatinosEnCannes
EDEKA 2117,2018,https://clios.com/awards/winner/film-technique-direction/edeka/christmas-2117-38346,https://clios.com/awards/winner/film-technique-direction/edeka/christmas-2117-38346,https://clios.com/awards/winner/film-technique-direction/edeka/christmas-2117-38346
EL MUNDO NEWSPAPER,2018,https://clios.com/entertainment/winner/theatrical-events-experiential/nuyorican-basket-documentary/el-mundo-55413,https://clios.com/entertainment/winner/theatrical-events-experiential/nuyorican-basket-documentary/el-mundo-55413,https://clios.com/entertainment/winner/theatrical-events-experiential/nuyorican-basket-documentary/el-mundo-55413
FIFA 18 MORE THAN A GAME,2018,https://www.thedrum.com/creative-works/project/adameveddb-fifa-more-game,https://www.thedrum.com/creative-works/project/adameveddb-fifa-more-game,https://www.thedrum.com/creative-works/project/adameveddb-fifa-more-game
FISH,2018,https://vimeopro.com/mullenlowegroup/cannes-lions-2018-winners/video/276851094,https://vimeopro.com/mullenlowegroup/cannes-lions-2018-winners/video/276851094,https://vimeopro.com/mullenlowegroup/cannes-lions-2018-winners/video/276851094
FORBIDDEN STORIES,2018,https://www.youtube.com/watch?v=lhEiEIjvdOQ&ab_channel=WundermanThompsonParis,https://www.youtube.com/watch?v=lhEiEIjvdOQ&ab_channel=WundermanThompsonParis,https://www.youtube.com/watch?v=lhEiEIjvdOQ&ab_channel=WundermanThompsonParis
GEOFF,2018,https://www.vmlyr.com/en-nz/new-zealand/work/heinz-geoff,https://www.vmlyr.com/en-nz/new-zealand/work/heinz-geoff,https://www.vmlyr.com/en-nz/new-zealand/work/heinz-geoff
GIVE NOTHING TO RACISM,2018,https://www.clemengerbbdo.co.nz/the-work/give-nothing-to-racism,https://www.clemengerbbdo.co.nz/the-work/give-nothing-to-racism,https://www.clemengerbbdo.co.nz/the-work/give-nothing-to-racism
GOD IS BUSY,2018,https://josearnaldosuaid.com/God-is-Busy,https://josearnaldosuaid.com/God-is-Busy,https://josearnaldosuaid.com/God-is-Busy
HEARPRINT,2018,https://www.thedrum.com/creative-works/project/che-proximity-cochlear-hearprint,https://www.thedrum.com/creative-works/project/che-proximity-cochlear-hearprint,https://www.thedrum.com/creative-works/project/che-proximity-cochlear-hearprint
“HEATH IMMIGRATION”,2018,https://www.youtube.com/watch?v=g2mPGGQDzH0&ab_channel=MassimoFiori,https://www.youtube.com/watch?v=g2mPGGQDzH0&ab_channel=MassimoFiori,https://www.youtube.com/watch?v=g2mPGGQDzH0&ab_channel=MassimoFiori
HELP A DANE,2018,https://clios.com/health/winner/integrated-campaign-health-wellness/danish-cancer-society-trygfonden/help-a-dane-55847,https://clios.com/health/winner/integrated-campaign-health-wellness/danish-cancer-society-trygfonden/help-a-dane-55847,https://clios.com/health/winner/integrated-campaign-health-wellness/danish-cancer-society-trygfonden/help-a-dane-55847
I’M STILL HER: JOHAN,2018,https://ddbbrussels.prezly.com/dementia-will-never-take-away-our-beautiful-memories,https://ddbbrussels.prezly.com/dementia-will-never-take-away-our-beautiful-memories,https://ddbbrussels.prezly.com/dementia-will-never-take-away-our-beautiful-memories
LIFE-SAVING SAFECAP,2018,https://activationideas.com/blog/safecap,https://activationideas.com/blog/safecap,https://activationideas.com/blog/safecap
LONDON SYMPHONY ORCHESTRA,2018,https://www.superunion.com/work/london-symphony-orchestra/,https://www.superunion.com/work/london-symphony-orchestra/,https://www.designbridge.com/$1
LYNCHING IN AMERICA,2018,https://www.lizvwells.com/project/lynching-in-america,https://www.lizvwells.com/project/lynching-in-america,https://www.lizvwells.com/project/lynching-in-america
MY LINE,2018,https://vimeopro.com/mullenlowegroup/cannes-lions-2018-winners/video/276851133,https://vimeopro.com/mullenlowegroup/cannes-lions-2018-winners/video/276851133,https://vimeopro.com/mullenlowegroup/cannes-lions-2018-winners/video/276851133
NIKE REACT GAME OF GO,2018,https://media.monks.com/case-studies/nike-game-of-go-real-time,https://media.monks.com/case-studies/nike-game-of-go-real-time,https://media.monks.com/case-studies/nike-game-of-go-real-time
QQ ALERT: REUNION AFTER YEARS,2018,https://www.youtube.com/watch?v=4ZwJCTNT_Ps&ab_channel=XinYang,https://www.youtube.com/watch?v=4ZwJCTNT_Ps&ab_channel=XinYang,https://www.youtube.com/watch?v=4ZwJCTNT_Ps&ab_channel=XinYang
R WORD,2018,https://clios.com/health/winner/social-media-health-wellness/avivo/the-r-word-51228,https://clios.com/health/winner/social-media-health-wellness/avivo/the-r-word-51228,https://clios.com/health/winner/social-media-health-wellness/avivo/the-r-word-51228
RAT’S TALE,2018,https://www.finchcompany.com/production/nzta-rats-tale/,https://www.finchcompany.com/production/nzta-rats-tale/,https://www.finchcompany.com/production/nzta-rats-tale/
SELF DISCOUNTING PRODUCTS,2018,https://istanbul.ddb.com/en/works/koctas-self-discounting-products/,https://istanbul.ddb.com/en/works/koctas-self-discounting-products/,https://istanbul.ddb.com/en/works/koctas-self-discounting-products/
STATION WITH A VIEW,2018,http://www.nielsvincent.fr/2018,http://www.nielsvincent.fr/2018,http://www.nielsvincent.fr/2018
