id,year,brand,case_name,youtube_url
super-bowl-2017-ispot-a3ol,2017,KFC,Super Bowl 207 Teaser: Real Colonel,https://www.youtube.com/watch?v=8veeaOuLFDE
super-bowl-2017-ispot-a3on,2017,KFC,"Super Bowl 2017 Teaser: Rock, Paper, Scissors",https://www.youtube.com/watch?v=5TUeovI_JjI
super-bowl-2017-ispot-a3op,2017,KFC,Super Bowl 2017 Teaser: Arm Wrestling,https://www.youtube.com/watch?v=AmnVhGA_VMM
super-bowl-2017-ispot-a3p_,2017,Ford,Go Further [T1],https://www.youtube.com/watch?v=HFNVKu7W9Z0
super-bowl-2017-ispot-a3p6,2017,Proactiv,Towel Drop,https://www.youtube.com/watch?v=eHhchESPIX8
super-bowl-2017-ispot-a3pa,2017,FOX,"APB Super Bowl 2017 TV Promo, 'Fourth Quarter'",https://www.youtube.com/watch?v=NJbIEM4Z3sw
super-bowl-2017-ispot-a3pd,2017,Samsung Mobile,FOX: Feel,https://www.youtube.com/watch?v=fEl7BoQExng
super-bowl-2017-ispot-a3ph,2017,FX Network,FX Network Super Bowl 2017 TV Promo,https://www.youtube.com/watch?v=6KE4HT6IXy8
super-bowl-2017-ispot-a3pi,2017,Tide,FOX: Bradshaw Stain Part Two,https://www.youtube.com/watch?v=Ln9aHNmovyk
super-bowl-2017-ispot-a3pv,2017,Mercedes-Benz,Easy Driver [T1],https://www.youtube.com/watch?v=foMjqGI0jM8
super-bowl-2017-ispot-a3pw,2017,KFC,Colonel vs. Colonel,https://www.youtube.com/watch?v=vCtMKwlh0ug
super-bowl-2017-ispot-a3py,2017,Alfa Romeo,Mozzafiato [T1],https://www.youtube.com/watch?v=EwPXO5inVdI
super-bowl-2017-ispot-a3qu,2017,WeatherTech,Super Bowl 2017 Teaser: Tech Team,https://www.youtube.com/watch?v=HRWqybamjRg
super-bowl-2017-ispot-a3rk,2017,Tide,Super Bowl 2017 Teaser: Customers Come First at Gronk's Cleaners,https://www.youtube.com/watch?v=xakmUwTFN_E
super-bowl-2017-ispot-a3tp,2017,Kia,Super Bowl 2017 Teaser: Melissa McCarthy Uses Heated and Ventilated Seats [T1],https://www.youtube.com/watch?v=HIpoTW1JDFQ
super-bowl-2017-ispot-a3tr,2017,Pepsi,Super Bowl 2017 Teaser: Countdown: 5 Days: The Wait Is a Drag,https://www.youtube.com/watch?v=1pdQapwIvXM
super-bowl-2017-ispot-a3ts,2017,Kia,Super Bowl 2017 Teaser: Melissa McCarthy Escapes With Her Backup Camera [T1],https://www.youtube.com/watch?v=HIpoTW1JDFQ
super-bowl-2017-ispot-a3x5,2017,Tide,Super Bowl 2017 Teaser: Part III: Gronk Works the Rack,https://www.youtube.com/watch?v=NJaM3aSX9nE
super-bowl-2017-ispot-a3xl,2017,Tide,Super Bowl 2017 Teaser: Part III: Choose Your Gronk,https://www.youtube.com/watch?v=AB8cvtv_nfw
super-bowl-2017-ispot-a3xs,2017,Tide,Super Bowl 2017 Teaser: Part III: Gronk’s Tunes,https://www.youtube.com/watch?v=AB8cvtv_nfw
super-bowl-2017-ispot-a8po,2017,Pepsi,Party Poopers,https://www.youtube.com/watch?v=fRo92vxsbfI
super-bowl-2017-ispot-acft,2017,SoFi,Together,https://www.youtube.com/watch?v=nctsDTqMnTo
super-bowl-2017-ispot-ah9y,2017,Avocados From Mexico,Super Bowl 2017 Teaser: #AvoSecrets,https://www.youtube.com/watch?v=ZYkcaeKk_7k
super-bowl-2017-ispot-ahv3,2017,TurboTax,Super Bowl 2017 Teaser: Humpty Fall,https://www.youtube.com/watch?v=Kb-OoQO6Y40
super-bowl-2017-ispot-aqba,2017,GoDaddy,Super Bowl 2017 Teaser: Roomba Cats,https://www.youtube.com/watch?v=zCkpgeLAR7A
super-bowl-2017-ispot-aqbe,2017,GoDaddy,Super Bowl 2017 Teaser: Horse Head in a Hula Chair,https://www.youtube.com/watch?v=y83xBWxaUX4
super-bowl-2017-ispot-aqbh,2017,GoDaddy,Super Bowl 2017 Teaser: What Color Is the Dress?,https://www.youtube.com/watch?v=y83xBWxaUX4
super-bowl-2017-ispot-aqbu,2017,GoDaddy,Super Bowl 2017 Teaser: Sneezing Panda,https://www.youtube.com/watch?v=y83xBWxaUX4
super-bowl-2017-ispot-aqe1,2017,Pepsi,Super Bowl 2017 Teaser: Countdown: 8 Days,https://www.youtube.com/watch?v=1pdQapwIvXM
super-bowl-2017-ispot-aqfe,2017,Pepsi,Super Bowl 2017 Teaser: Countdown:9 Days,https://www.youtube.com/watch?v=1pdQapwIvXM
super-bowl-2017-ispot-aqgc,2017,GNC,Super Bowl 2017 Teaser: Courage to Change: Donnita,https://www.youtube.com/watch?v=cZ9t_k-KXQM
super-bowl-2017-ispot-aqgv,2017,Pepsi,Super Bowl 2017 Teaser: Countdown:11 Days of Fly,https://www.youtube.com/watch?v=1pdQapwIvXM
