id,year,brand,title,agency,current_url,query,best_adsspot_url,best_score,candidate_2,candidate_3,candidate_count
2008-building-anando-milk,2008,ANANDO MILK,BUILDING,MCCANN MUMBAI,https://d3nuqriibqh3vw.cloudfront.net/styles/aotw_detail_ir/s3/images/anandomilkbuilding.jpg?itok=9vH-pWEk,BUILDING ANANDO MILK 2008 site:adsspot.me/media,,,,,0
2008-eating-in-toilet-hong-kong-breastfeeding-mothers-association,2008,HONG KONG BREASTFEEDING MOTHERS’ ASSOCIATION,EATING IN TOILET,FCB SHANGHAI,https://storage.googleapis.com/adforum-media/12654353/FCBC_12550_12654353A.JPG,EATING IN TOILET HONG KONG BREASTFEEDING MOTHERS’ ASSOCIATION 2008 site:adsspot.me/media,,,,,0
2008-mms-amf-pension,2008,AMF PENSION,MMS,FORSMAN & BODENFORS GOTHENBURG,https://forsman.co/work/amf/mms,MMS AMF PENSION 2008 site:adsspot.me/media,,,,,0
2008-night-reflection-mcdonald-s,2008,MCDONALD’S,NIGHT REFLECTION,DDB SYDNEY,https://creativecriminals.com/pictures/hq/161/mcdonaldsnight1.jpg,NIGHT REFLECTION MCDONALD’S 2008 site:adsspot.me/media,,,,,0
2008-rob-lowe-orange,2008,ORANGE,ROB LOWE,MOTHER LONDON,https://www.youtube.com/watch?v=5i2N0_UPRxM,ROB LOWE ORANGE 2008 site:adsspot.me/media,,,,,0
2005-brick-wall-dscr-french-road-safety,2005,DSCR FRENCH ROAD SAFETY,BRICK WALL,LOWE PARIS,https://assets.lovethework.com/loc1/archive/2005/press/high/03606.jpg?Key-Pair-Id=K3KXIJDC8V1Z48&Policy=eyJTdGF0ZW1lbnQiOlt7IkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTY2MTEzNDEwOX19LCJSZXNvdXJjZSI6Imh0dHBzOi8vYXNzZXRzLmxvdmV0aGV3b3JrLmNvbS9sb2MxL2FyY2hpdmUvMjAwNS9wcmVzcy9oaWdoLzAzNjA2LmpwZyJ9XX0&Signature=OrzJRREQYLCJ162tycL7JuP7NXMMmWG0SUTtylEV0Vt0E2IBxN185oNChTjYBldPvcdcuAa2lfUdx7qxcfITQz7klrXqNkX3xO3TITqn43RBEpbhebW6ovM%2FeI6Pi753K3YKzn1a%2BEVyUoTO80CnGjS5%2FTlOkFl4B%2BAAMi%2BaBIGt4hqMkLVgGG4FveCvghf6iZCb56lXGMYLJyiVY79D8CTNmWEZFTuT154CPHe%2BcYj%2BCDG1Exp7JoVHUGSdn%2Fvy8XuDWr8t8hkxFYsZPh8%2Bt3QkrmHdBjRsy8Vwk30vRgu4XomUJiZlyhyy8JynDD6994hfawKFaSbGqN%2BI8ncCGQ,BRICK WALL DSCR FRENCH ROAD SAFETY 2005 site:adsspot.me/media,,,,,0
2005-bunso-unicef,2005,UNICEF,BUNSO,BBDO MAKATI CITY,https://www.youtube.com/watch?v=yh6lz7zgGNY&ab_channel=ANRW,BUNSO UNICEF 2005 site:adsspot.me/media,,,,,0
2005-marie-inpes,2005,INPES,MARIE,FCB CLICHY,https://player.vimeo.com/video/105691925,MARIE INPES 2005 site:adsspot.me/media,,,,,0
2005-verne-troyer-orange,2005,ORANGE,VERNE TROYER,MOTHER LONDON,https://www.youtube.com/watch?v=UOzZs4krFKY&ab_channel=motherlondon,VERNE TROYER ORANGE 2005 site:adsspot.me/media,,,,,0
2004-court-stenographer-agf-financial-services,2004,AGF FINANCIAL SERVICES,COURT STENOGRAPHER,TBWA\TORONTO,https://www.youtube.com/watch?v=ywjOf030J-Y&ab_channel=davisatlas,COURT STENOGRAPHER AGF FINANCIAL SERVICES 2004 site:adsspot.me/media,,,,,0
2004-flight-attendant-agf-financial-services,2004,AGF FINANCIAL SERVICES,FLIGHT ATTENDANT,TBWA\TORONTO,https://www.youtube.com/watch?v=GLWNfkTv-to&ab_channel=BenjaminPadero,FLIGHT ATTENDANT AGF FINANCIAL SERVICES 2004 site:adsspot.me/media,,,,,0
2004-try-k2r-k2r,2004,K2R,TRY K2R,TBWA\PARIS BOULOGNE-BILLANCOURT,https://www.youtube.com/watch?v=ibTxMvCZpFI&amp;ab_channel=GCCarvalho,TRY K2R K2R 2004 site:adsspot.me/media,,,,,0
2004-village-aides,2004,AIDES,VILLAGE,TBWA\PARIS BOULOGNE-BILLANCOURT,https://www.youtube.com/watch?v=ibTxMvCZpFI&ab_channel=GCCarvalho,VILLAGE AIDES 2004 site:adsspot.me/media,,,,,0
2003-bruised-ambassadors-nz-women-s-refuge,2003,NZ WOMEN’S REFUGE,BRUISED AMBASSADORS,SAATCHI & SAATCHI AUCKLAND,https://d26eb5y2jukpbz.cloudfront.net/ebs/archive/2003/media/03374A_a.jpg,BRUISED AMBASSADORS NZ WOMEN’S REFUGE 2003 site:adsspot.me/media,,,,,0
2003-live-fast-die-a-senior-citizen-rolling-stone,2003,ROLLING STONE,"LIVE FAST, DIE A SENIOR CITIZEN",BBH NEW YORK,https://storage.googleapis.com/adforum-media/30113/BARB_12048_0030113A.JPG,"LIVE FAST, DIE A SENIOR CITIZEN ROLLING STONE 2003 site:adsspot.me/media",,,,,0
2003-streaker-bilbao-athletic-club,2003,BILBAO ATHLETIC CLUB,STREAKER,DIMENSION SAN SEBASTIAN,http://www.papik.es/en/portfolio/athletic-club-streaker/,STREAKER BILBAO ATHLETIC CLUB 2003 site:adsspot.me/media,,,,,0
2003-wimbledon-2002-ibm,2003,IBM,WIMBLEDON 2002,OGILYONE LONDON,https://www.youtube.com/watch?v=ipAC-xBbVOc,WIMBLEDON 2002 IBM 2003 site:adsspot.me/media,,,,,0
2002-aids-help-vienna-aids-foundation,2002,AIDS FOUNDATION,AIDS HELP VIENNA,PALLA KOBLINGER PROXIMITY VIENNA,https://www.youtube.com/watch?v=ukVCbNt9FpY&ab_channel=ElisaR.,AIDS HELP VIENNA AIDS FOUNDATION 2002 site:adsspot.me/media,,,,,0
2002-always-have-the-last-word-the-economist,2002,THE ECONOMIST,ALWAYS HAVE THE LAST WORD,OGILVY & MATHER ADVERTISING HONG KONG,https://d26eb5y2jukpbz.cloudfront.net/ebs/archive/2002/media/02216A_b.jpg,ALWAYS HAVE THE LAST WORD THE ECONOMIST 2002 site:adsspot.me/media,,,,,0
2002-audi-a4-avant-audi,2002,AUDI,AUDI A4 AVANT,DOUBLEYOU BARCELONA,https://d26eb5y2jukpbz.cloudfront.net/ebs/archive/2002/media/02112N.jpg,AUDI A4 AVANT AUDI 2002 site:adsspot.me/media,,,,,0
2002-forever-estrella-damm-beer,2002,ESTRELLA DAMM BEER,FOREVER,TANDEM DDB MADRID,https://www.youtube.com/watch?v=b0KFxIi_jME,FOREVER ESTRELLA DAMM BEER 2002 site:adsspot.me/media,,,,,0
2001-adidas-beat-rugby-i-adidas,2001,ADIDAS,ADIDAS BEAT RUGBY I,SAATCHI & SAATCHI NEW ZEALAND WELLINGTON,https://d26eb5y2jukpbz.cloudfront.net/ebs/archive/osi/2001/media/010018N_b.jpg,ADIDAS BEAT RUGBY I ADIDAS 2001 site:adsspot.me/media,,,,,0
2001-kiss-on-the-bus-smint,2001,SMINT,KISS ON THE BUS,TANDEM CAMPMANY GUASCH DDB BARCELONA,https://www.adforum.com/creative-work/ad/player/14665/bus-opened-doors/smint,KISS ON THE BUS SMINT 2001 site:adsspot.me/media,,,,,0
2000-jukka-bros-xmas-story-mtv-networks,2000,MTV NETWORKS,JUKKA BROS / XMAS STORY,FALLON NEW YORK,https://www.youtube.com/watch?v=qp7LaVl6ons&ab_channel=LakshmipathyBhat,JUKKA BROS / XMAS STORY MTV NETWORKS 2000 site:adsspot.me/media,,,,,0
2000-lyrebird-forestry-stewardship-commission,2000,FORESTRY STEWARDSHIP COMMISSION,LYREBIRD,SAATCHI & SAATCHI EMEA,https://www.youtube.com/watch?v=0uDk-EYGY3I&ab_channel=MindlessShelfIndulgence,LYREBIRD FORESTRY STEWARDSHIP COMMISSION 2000 site:adsspot.me/media,,,,,0
2000-window-camel,2000,CAMEL,WINDOW,MCCANN LONDON,https://www.youtube.com/watch?v=sZoMxFiPAyA&ab_channel=TheHallofAdvertising,WINDOW CAMEL 2000 site:adsspot.me/media,,,,,0
