year,playlist,video_title,video_url
2022,"2022 Ads of Super Bowl LVI (56)","WeatherTech Big Game Commercial 2022 - Special Ops: Fit Crew","https://www.youtube.com/watch?v=fwnbHVYgprA"
2022,"2022 Ads of Super Bowl LVI (56)","NOPE | SBLVI SPOT","https://www.youtube.com/watch?v=-x__vh1H0dQ"
2022,"2022 Ads of Super Bowl LVI (56)","THE LORD OF THE RINGS: The Rings of Power Trailer (2022) Super Bowl","https://www.youtube.com/watch?v=zDHBioJ-jQ8"
2022,"2022 Ads of Super Bowl LVI (56)","Idris for Booking.com - the #1 accommodation site on Planet Earth.","https://www.youtube.com/watch?v=YchR7cbFuAU"
2022,"2022 Ads of Super Bowl LVI (56)","SuperBowl-Ads.com 25th year celebration","https://www.youtube.com/watch?v=V9KIFz68VLM"
2021,"All the 2021 Super Bowl commercials","Amazon’s Big Game Commercial: Alexa’s Body","https://www.youtube.com/watch?v=xxNxqveseyI"
2021,"All the 2021 Super Bowl commercials","Wayne's World & Cardi B's Shameless Manipulation | Eat Local | Uber Eats","https://www.youtube.com/watch?v=D-Q3HNp6dew"
2021,"All the 2021 Super Bowl commercials","Chipotle | Can a Burrito Change the World?","https://www.youtube.com/watch?v=BkXHqihY4RE"
2021,"All the 2021 Super Bowl commercials","Paramount+ Expedition | Sweet Victory | Super Bowl LV Spot","https://www.youtube.com/watch?v=LVuTCDB1iMc"
2021,"All the 2021 Super Bowl commercials","Tom Brady & Rob Gronkowski | Big Game Ad | #TheGOATin5G | T-Mobile","https://www.youtube.com/watch?v=5L6juLUkwuw"
2021,"All the 2021 Super Bowl commercials","Opportunity Knocks | Fiverr Big Game Commercial Extended Cut (2021) | Fiverr","https://www.youtube.com/watch?v=XelsNvpibpQ"
2021,"All the 2021 Super Bowl commercials","‘Twas the Night Before Super Bowl | Frito-Lay 2:00","https://www.youtube.com/watch?v=YsA8dNubLZ0"
2021,"All the 2021 Super Bowl commercials","Bass Pro Shops and Cabela’s Super Bowl Commercial 2021: Get Back to Nature","https://www.youtube.com/watch?v=yfLz54hzpPs"
2021,"All the 2021 Super Bowl commercials","Dr. Squatch Super Bowl LV Commercial 2021 - You're Not A Dish","https://www.youtube.com/watch?v=vDHNMqOLw_o"
2021,"All the 2021 Super Bowl commercials","Inspire Change | Super Bowl LV Commercial","https://www.youtube.com/watch?v=bu_kAMpCKME"
2021,"All the 2021 Super Bowl commercials","Dexcom Official Big Game Commercial 2021 with Nick Jonas","https://www.youtube.com/watch?v=zN8naTqX3TI"
2021,"All the 2021 Super Bowl commercials","Counting MTN DEW MAJOR MELON™ with John Cena: A ONE MILLION DOLLAR Tutorial","https://www.youtube.com/watch?v=cF0nw2a_F_I"
2021,"All the 2021 Super Bowl commercials","Super Bowl Ad: Join The First All-Civilian Space Mission | Inspiration4","https://www.youtube.com/watch?v=_nwSmOEiDls"
